table_name,grain,table_type,required_fields,partition_key,refresh_frequency,source_system,readiness,notes
fact_order_fulfillment_order_daily,系统自发货订单,fact,ref_no;erp_code;order_status;issue_type;pay_time;os_auth_time;send_time;warehouse_code;shop_account;site_code;country_code;logistics_channel;mark_shipped_status;abandon_type;virtual_order_flag,biz_date,daily,ERP/OMS,v0_erp_fields_ready,总览明细未发货预警发货时效的主事实表
fact_order_fulfillment_item_daily,订单商品行,fact,erp_code;sku_code;seller_sku;supply_sku;spu_code;item_qty;item_send_qty;item_pay_time;item_send_time;virtual_flag;msku_mapping_status,biz_date,daily,ERP/OMS,v0_erp_item_fields_ready,商品履约分布和商品行及时率分母
fact_order_package_delivery_daily,包裹或跟踪号,fact,track_order_code;erp_code;warehouse_code;country_code;logistics_channel;shipping_code;send_time;tms_sign_time;tms_package_status;last_tms_event_time,biz_date,daily,TMS,needs_tms_contract,妥投签收时间以 TMS 为准
fact_audit_event_daily,审核事件,fact,audit_event_id;erp_code;audit_actor_type;audit_user;audit_time;audit_action_type;is_latest_audit;pay_time;order_status,biz_date,daily,ERP audit log,needs_audit_event_contract,审核效能必须先拆系统自动审核与人工审核
fact_stockout_signal_daily,日期+缺货类型+SKU+仓库,fact,biz_date;stockout_type;sku_code;warehouse_code;order_stockout_qty;available_qty;reserved_qty;in_transit_qty;forecast_demand_qty;forecast_cover_days;target_cover_days,biz_date,daily,ERP/WMS/forecast,needs_inventory_forecast_contract,缺货类型限定订单缺货库存缺货预测缺货
fact_inventory_snapshot_daily,日期+SKU+仓库库存快照,fact,biz_date;sku_code;warehouse_code;available_qty;reserved_qty;on_hand_qty;in_transit_qty;inventory_status,biz_date,daily,WMS/ERP inventory,needs_inventory_contract,支撑库存缺货和未发货归因
fact_demand_forecast_weekly,SKU+区域+预测周期,fact,forecast_week;sku_code;region;country_code;forecast_demand_qty;forecast_model_version;target_cover_days;forecast_cover_days,forecast_week,weekly,Forecast planning,needs_forecast_contract,支撑预测缺货不进入当日履约事实分母
agg_fulfillment_kpi_daily,日期+筛选维度,aggregate,biz_date;filter_hash;raw_order_count;split_order_count;unaudited_order_count;issue_order_count;audit_sla_24h_num;audit_sla_24h_den;pay_ship_sla_48h_num;pay_ship_sla_48h_den;item_ship_sla_24h_num;item_ship_sla_24h_den;unshipped_overdue_num;unshipped_overdue_den;delivery_10d_num;delivery_10d_den,biz_date,daily,derived,design_ready,总览 KPI 必须保留分子分母
agg_fulfillment_risk_daily,日期+风险类型+责任域,aggregate,biz_date;risk_type;risk_orders;risk_items;risk_share;owner_domain;primary_metric;drilldown_url_key,biz_date,daily,derived,new_contract_required,总览风险贡献统一出口
agg_order_distribution_daily,日期+区域国家状态SKU,aggregate,biz_date;region;country_code;sku_code;order_status;raw_orders;valid_orders;unaudited_orders;waiting_ship_orders;shipped_orders;ship_rate;item_ship_rate,biz_date,daily,derived,design_ready,订单分布热力排名和状态结构
agg_delivery_channel_daily,日期+国家+物流渠道,aggregate,biz_date;country_code;region;logistics_channel;warehouse_code;shipped_package_count;tms_signed_package_count;delivery_3d_num;delivery_3d_den;delivery_5d_num;delivery_5d_den;delivery_7d_num;delivery_7d_den;delivery_10d_num;delivery_10d_den;delivery_12d_num;delivery_12d_den;overdue_undelivered_package_count,biz_date,daily,derived from TMS,needs_tms_contract,妥投阶梯和渠道矩阵
agg_product_fulfillment_daily,日期+SKU+SPU+品类+GTM,aggregate,biz_date;sku_code;spu_code;category_level_3;gtm_group;product_qty;shipped_qty;ship_rate_3d;ship_rate_5d;ship_rate_7d;stockout_type;virtual_flag;msku_mapping_status,biz_date,daily,derived,design_ready,商品履约分布和风险池
agg_shipping_efficiency_daily,日期+仓库+仓库类型,aggregate,biz_date;warehouse_code;warehouse_type;shipment_orders;shipment_items;small_packet_orders;overseas_orders;avg_processing_load;mark_shipped_failed_orders,biz_date,daily,derived,design_ready,发货效能和仓型负载
agg_audit_efficiency_daily,日期+审核方式+审核人,aggregate,biz_date;audit_actor_type;audit_user;audit_orders;avg_audit_interval_h;audit_sla_24h_num;audit_sla_24h_den;latest_audit_orders,biz_date,daily,derived from audit log,needs_audit_event_contract,自动审核与人工审核分开展示
agg_unshipped_warning_daily,日期+超期层级+责任域+SKU+仓库,aggregate,biz_date;overdue_bucket;owner_domain;warehouse_code;sku_code;issue_type;unshipped_orders;unshipped_share;available_qty;mark_shipped_failed_orders;next_action,biz_date,daily,derived,design_ready,未发货预警独立模块
agg_order_issue_daily,日期+问题件类型+责任域,aggregate,biz_date;issue_type;issue_orders;issue_share;owner_domain;stockout_type;next_action_status;drilldown_order_count,biz_date,daily,derived,new_contract_required,问题件闭环并联动缺货三分法
agg_cross_region_fulfillment_daily,日期+目的国家+发货仓国家+仓库,aggregate,biz_date;destination_country_code;warehouse_country_code;warehouse_code;cross_region_orders;total_orders;cross_region_rate;delivery_10d_rate;avg_shipping_cost_placeholder,biz_date,daily,derived,new_contract_required,平均发货成本仅占位不进核心 KPI
dim_sku_info,SKU 主数据,dimension,sku_code;sku_name;spu_code;product_line;category_level_3;gtm_group;virtual_flag;launch_status,none,daily,ERP product master,needs_owner_mapping,产品名称筛选商品履约虚拟商品标识
dim_country_region,国家区域,dimension,country_code;country_name;region;market_cluster;timezone,none,monthly,master data,needs_owner_mapping,订单分布妥投跨区发货共用
dim_warehouse,仓库,dimension,warehouse_code;warehouse_name;warehouse_type;country_code;region;enabled_flag;small_packet_flag;overseas_flag,none,daily,WMS/ERP warehouse,needs_owner_mapping,仓型跨区发货和发货效能
dim_logistics_channel,物流渠道,dimension,logistics_channel;sp_code;sp_name;shipping_code;shipping_name;service_level;carrier_country,none,monthly,TMS/ERP logistics,needs_owner_mapping,物流方式筛选和妥投分析
dim_audit_user,审核人,dimension,audit_user;audit_user_name;team;shift_group;active_flag;manual_audit_flag,none,monthly,ERP audit log,needs_audit_event_contract,人工审核排行和班次分析
dim_issue_type,问题件类型,dimension,issue_type;issue_big_type;owner_domain;default_action;sla_hours;stockout_related_flag,none,monthly,ERP status mapping,new_contract_required,异常标识到责任域和动作
dim_owner_responsibility,责任域,dimension,owner_domain;owner_team;primary_contact;escalation_level;default_sla_hours,none,monthly,manual governance,new_contract_required,未发货预警与问题件闭环动作
